year,topic_0_words
1962,"[('steel', 0.0024998013), ('revenue', 0.0019168854), ('tax', 0.0018369975)]"
1962,"[('agricultural', 0.0024502894), ('transport', 0.0023156714), ('prices', 0.0019920848)]"
1962,"[('shah', 0.002139203), ('manubhai', 0.0018830232), ('attention', 0.0016917945), ('commerce', 0.0016055347), ('fares', 0.0015652095)]"
1962,"[('agricultural', 0.0028138924), ('labour', 0.0023037896), ('research', 0.0021078587), ('commerce', 0.0020525812), ('jyaistha', 0.001965707)]"
1962,"[('irrigation', 0.0023475)]"
1962,"[('representation', 0.00243366), ('transport', 0.002405629), ('medical', 0.0023492998), ('research', 0.0020556983), ('teachers', 0.0019998783)]"
1962,"[('namely', 0.0016452684)]"
1962,"[('schools', 0.0028178394), ('primary', 0.0023438374)]"
1962,"[('progress', 0.0022636668), ('congress', 0.0018175438), ('kerala', 0.0016816986), ('commerce', 0.0014993479)]"
1962,"[('radio', 0.0025389877), ('teachers', 0.0018224148), ('schools', 0.001681696), ('broadcasting', 0.0016471467), ('steel', 0.0015135019)]"
1962,"[('defence', 0.0066757035), ('judges', 0.0018782943)]"
1962,"[('transport', 0.0018535112), ('pakistan', 0.0017917692), ('irrigation', 0.0016852316)]"
1962,"[('defence', 0.005985145), ('army', 0.0038723885), ('ram', 0.0036002574), ('transport', 0.0026124872), ('supply', 0.0025789922), ('forces', 0.0018998965), ('pakistan', 0.0016732624)]"
1962,"[('defence', 0.0028833274), ('pakistan', 0.00283792), ('supply', 0.0025716845), ('housing', 0.0025691034), ('krishna', 0.0023257046), ('menon', 0.0018510089), ('jyaistha', 0.0018411371)]"
1980,"[('failure', 0.0042141), ('station', 0.0024136768), ('trains', 0.002122703), ('construction', 0.0017777857), ('replacement', 0.0016765784)]"
1962,"[('atomic', 0.005194161), ('energy', 0.0051852637), ('drugs', 0.003014972), ('transport', 0.0025676545), ('nayar', 0.0021095166), ('provision', 0.001939827)]"
1962,"[('purpose', 0.0037761407), ('steel', 0.00349316), ('acquisition', 0.0031145616), ('industries', 0.0026249606), ('private', 0.0022208677), ('company', 0.002166227), ('heavy', 0.002036092)]"
1962,"[('linguistic', 0.0062699663), ('language', 0.0061917077), ('commissioner', 0.004295796), ('reports', 0.0030165154), ('commerce', 0.002952733), ('urdu', 0.0026528204)]"
1962,"[('research', 0.0053572953), ('bar', 0.0032843442), ('rules', 0.003145291), ('housing', 0.0031056376), ('scientific', 0.0030810367), ('resolution', 0.0025603438)]"
1962,"[('exchange', 0.003027161), ('planning', 0.0026508411), ('steel', 0.0022191966), ('industries', 0.0021043436)]"
1962,"[('sugarcane', 0.0041006003), ('formula', 0.003738782), ('banking', 0.0035790952), ('banks', 0.002960374), ('sugar', 0.0023048657), ('reserve', 0.0022420285), ('pay', 0.002164829), ('growers', 0.0021097658), ('paid', 0.0020827474)]"
1962,"[('cooperative', 0.0073268875), ('societies', 0.0024139537), ('commerce', 0.0023769678), ('chinese', 0.0021975895), ('nehru', 0.0020801662), ('trade', 0.0020792754), ('trivedi', 0.0020733327)]"
1962,"[('scheduled', 0.005079406), ('tribes', 0.0033876237), ('flood', 0.0031090674), ('floods', 0.0027946031), ('problem', 0.0022334394)]"
1962,"[('extradition', 0.0045835655), ('countries', 0.0036307597), ('assam', 0.0034420842), ('commonwealth', 0.002596899), ('rifles', 0.002092569), ('commandant', 0.002017551), ('authority', 0.0017603119)]"
1962,"[('scheduled', 0.0032786308), ('resolution', 0.002673583), ('research', 0.0020788724), ('commerce', 0.0019021231), ('supply', 0.001855754), ('works', 0.001851503), ('tribal', 0.0018314931)]"
1962,"[('child', 0.008481517), ('hindu', 0.004899646), ('children', 0.004094601), ('adoption', 0.0036232416), ('steel', 0.0033196923), ('brought', 0.0025272677), ('joint', 0.002500301)]"
1962,"[('supply', 0.0035768752), ('specific', 0.0031148323), ('commerce', 0.0025743253), ('contract', 0.0021994838)]"
1962,"[('cooperative', 0.004643756), ('insurance', 0.003564194), ('irrigation', 0.0032458256), ('resolution', 0.0029625704), ('supply', 0.0028718668), ('training', 0.0028006707), ('sharma', 0.0025133006)]"
1962,"[('china', 0.0049339114), ('chinese', 0.004897951), ('defence', 0.0037138273), ('border', 0.0025030577), ('war', 0.0023520393), ('steel', 0.0020984716), ('pakistan', 0.0019188767)]"
1962,"[('upsc', 0.004791611), ('service', 0.0037202009), ('trade', 0.0025375204), ('scheduled', 0.002467304), ('commerce', 0.0022836744), ('services', 0.0020137236), ('labour', 0.0019224102)]"
1962,"[('accidents', 0.008287417), ('transport', 0.0030645519), ('service', 0.0024269705), ('upsc', 0.002370477), ('train', 0.0021378284), ('staff', 0.0021267377), ('administration', 0.002110286), ('place', 0.0019934422)]"
1962,"[('steel', 0.0026961905), ('fuel', 0.0018833306), ('scheduled', 0.0016320671), ('hindu', 0.0015906303), ('punjab', 0.0015062614), ('heavy', 0.0014511705)]"
1962,"[('industries', 0.0038600266), ('sugar', 0.0031203083), ('commerce', 0.0027616513), ('loans', 0.0025370996), ('supplementary', 0.0019732735)]"
1962,"[('planning', 0.0037969553), ('countries', 0.0034724642), ('trade', 0.0028626753), ('targets', 0.002505451), ('income', 0.0022081572), ('problem', 0.0019623395), ('bhadra', 0.0019232216)]"
1962,"[('nagaland', 0.0077561955), ('constitution', 0.005015269), ('naga', 0.0035419334), ('thirteenth', 0.0028101811), ('separate', 0.002568061), ('assam', 0.0022465314)]"
1962,"[('steel', 0.0032129325), ('vishnu', 0.0031254035), ('acquisition', 0.00301518), ('kamath', 0.0028725918), ('company', 0.002704744), ('purpose', 0.0025582642), ('industries', 0.0025539887)]"
1962,"[('purpose', 0.0036922935), ('acquisition', 0.003617781), ('acquired', 0.0026514316), ('company', 0.0024866443)]"
1962,"[('reserve', 0.003764635), ('insurance', 0.002013003), ('bhadra', 0.0018651189), ('credit', 0.0018298603)]"
1962,"[('scheduled', 0.010304337), ('constituencies', 0.0066783116), ('delimitation', 0.0062529305), ('kamath', 0.005725343), ('vishnu', 0.0049231723), ('constituency', 0.0045017772), ('assembly', 0.004491444)]"
1962,"[('tax', 0.005751931), ('administrative', 0.003294009), ('services', 0.0032702135), ('gift', 0.002838857), ('administration', 0.0025978643), ('officers', 0.0024249093), ('training', 0.0023106171)]"
1962,"[('journalists', 0.011681504), ('gold', 0.006781626), ('wage', 0.0030966536), ('conscience', 0.0029372065), ('bonds', 0.002517525), ('agrahayana', 0.0024723657)]"
1962,"[('amendments', 0.0048209056), ('journalists', 0.0043652384), ('defence', 0.004265685), ('kamath', 0.0037774388)]"
1962,"[('insurance', 0.0063465443), ('emergency', 0.0035656164), ('resolution', 0.0034147378), ('medicine', 0.0029018468), ('risks', 0.0028709457), ('factories', 0.0025819642)]"
1962,"[('china', 0.0036246981), ('resolution', 0.0030972683), ('chinese', 0.003068564), ('aggression', 0.0027898068), ('war', 0.0023635163), ('commerce', 0.0022708832), ('countries', 0.0020228147)]"
1962,"[('port', 0.006969416), ('constitution', 0.0046149106), ('ports', 0.004579697), ('judges', 0.0038785993), ('major', 0.0035379445), ('vehicles', 0.003020084), ('judge', 0.002626144), ('motor', 0.002513565)]"
1962,"[('china', 0.0041208803), ('war', 0.0040493025), ('chinese', 0.0027809874), ('defence', 0.0023026855), ('world', 0.0021947694), ('transport', 0.0019808863)]"
1962,"[('china', 0.0060192198), ('chinese', 0.0034673435), ('steel', 0.0029962752), ('aggression', 0.0029028952), ('emergency', 0.0027173182), ('kartika', 0.0024287985), ('proclamation', 0.0024056274), ('war', 0.00240368), ('world', 0.0022724823)]"
1962,"[('china', 0.01134618), ('chinese', 0.007666754), ('situation', 0.0041907523), ('border', 0.0037906235), ('invasion', 0.0036527344), ('world', 0.0035619722), ('war', 0.003488902), ('aggression', 0.0026067982)]"
1962,"[('judges', 0.0050648507), ('prices', 0.0042371657), ('justice', 0.0029354526), ('judge', 0.0026889513), ('constitution', 0.0025764322)]"
1962,"[('china', 0.0073630475), ('chinese', 0.005831046), ('war', 0.0040980913), ('world', 0.0038710213), ('defence', 0.0037508016), ('aggression', 0.0036191628), ('emergency', 0.003505269), ('nations', 0.0026314908), ('united', 0.0026297055)]"
1962,"[('china', 0.005991513), ('war', 0.0041812616), ('chinese', 0.004044918), ('aggression', 0.00384925), ('proclamation', 0.0028935566), ('emergency', 0.0028233887), ('resolutions', 0.0018556641)]"
1962,"[('china', 0.006098485), ('chinese', 0.0036442385), ('aggression', 0.0033455899), ('resolutions', 0.0031852403), ('war', 0.0027925137), ('emergency', 0.0024816613), ('proclamation', 0.0024394689), ('kartika', 0.0023693135), ('countries', 0.002275767)]"
1962,"[('training', 0.006443544), ('resolution', 0.004799625), ('military', 0.0037617376), ('young', 0.002342073), ('men', 0.0021243785), ('emergency', 0.0020904231), ('supplementary', 0.0020102253)]"
1962,"[('commerce', 0.0034784724), ('electricity', 0.003185186), ('industries', 0.0031617805), ('defence', 0.0028409562), ('steel', 0.002700565), ('workers', 0.0025264972), ('tea', 0.0024911289)]"
1962,"[('defence', 0.0054625343), ('supplementary', 0.0030938112), ('war', 0.0030310978), ('china', 0.0027909945), ('kamath', 0.00234015)]"
1962,"[('aad', 0.0023702616), ('kartika', 0.002300762), ('aca', 0.002158412), ('defence', 0.0018788134), ('customs', 0.0017788927), ('air', 0.0016707289)]"
1963,"[('defence', 0.0037441556), ('vishnu', 0.0022621378), ('chinese', 0.0021119784), ('kamath', 0.0017040123)]"
1962,"[('customs', 0.0061615626), ('kamath', 0.0036893778), ('vishnu', 0.0024399702), ('hari', 0.0022637951), ('smuggling', 0.0018760943), ('smuggled', 0.0018346073), ('provisions', 0.0018121919)]"
1963,"[('transport', 0.0033794), ('constitution', 0.0031130326), ('agricultural', 0.0025355783), ('joint', 0.0022817396), ('raj', 0.0022096755)]"
1962,"[('defence', 0.0040602055), ('communist', 0.0024278548), ('war', 0.0023575763), ('chinese', 0.002103222), ('irrigation', 0.0018279548), ('resolution', 0.0018260387), ('vishnu', 0.0017789713)]"
1963,"[('china', 0.0066624526), ('colombo', 0.0066596773), ('chinese', 0.0066308393), ('proposals', 0.006340008), ('conference', 0.0028173984), ('position', 0.0024920339), ('powers', 0.0019806414), ('war', 0.0019426378)]"
1962,"[('steel', 0.0058939867), ('commerce', 0.0050131083), ('defence', 0.0041975593), ('emergency', 0.004190482), ('heavy', 0.0035738933), ('war', 0.0035404626), ('industries', 0.0029919506), ('resolution', 0.0029864956), ('trade', 0.0029506243), ('economy', 0.0028714107)]"
1963,"[('proposals', 0.0068877437), ('chinese', 0.0064390562), ('china', 0.0057344385), ('colombo', 0.0050304225), ('conference', 0.0031583635), ('world', 0.0017776672), ('countries', 0.0017750855)]"
1963,"[('steel', 0.0038645014), ('heavy', 0.0036432624), ('prices', 0.0033477629), ('industries', 0.0027834845), ('export', 0.002778297), ('trade', 0.002262844), ('commerce', 0.00219825), ('plant', 0.002044226), ('control', 0.001969653)]"
1962,"[('defence', 0.007959502), ('war', 0.004269023), ('powers', 0.0031983855), ('chinese', 0.0023016743), ('communist', 0.0022909597)]"
1962,"[('sugarcane', 0.0065452172), ('sugar', 0.0043888493), ('rules', 0.0041342443), ('tribunal', 0.0033940815), ('cane', 0.002975159)]"
1962,"[('defence', 0.004543878), ('rules', 0.0041094436), ('parliament', 0.0039522466), ('kamath', 0.0038979515), ('banks', 0.0034471112), ('vishnu', 0.0028583142), ('provisions', 0.002749316), ('industries', 0.0027097426)]"
1962,"[('warehousing', 0.010390695), ('corporations', 0.005968746), ('warehouses', 0.0050121197), ('cooperative', 0.00374667), ('workers', 0.0033685027), ('produce', 0.003135671), ('storage', 0.0028858534)]"
1962,"[('society', 0.003733143), ('compensation', 0.00308851), ('workers', 0.0026875318), ('cooperative', 0.0025877126)]"
1963,"[('obituary', 0.0047811028), ('daily', 0.0046055545), ('babu', 0.0042965193)]"
1963,"[('company', 0.00273549), ('gold', 0.0022918347), ('malaviya', 0.0017871466)]"
1963,"[('gold', 0.0023187152), ('kamath', 0.0019251886)]"
1963,"[('desai', 0.0041127726), ('tax', 0.0039721043), ('morarji', 0.003037628), ('income', 0.0027847711)]"
1963,"[('radio', 0.002873488), ('sugar', 0.0019064349), ('agricultural', 0.0016271173), ('station', 0.0016240207)]"
1963,"[('irrigation', 0.0037849697), ('waters', 0.0020624674)]"
1963,"[('workers', 0.0070294878), ('labour', 0.006030513), ('resolution', 0.0026537515), ('employment', 0.0022479086), ('wages', 0.0018604988)]"
1963,"[('shastri', 0.0037171962), ('defence', 0.0030372245), ('bahadur', 0.0028653461), ('lal', 0.0022658228), ('scheduled', 0.0022000417)]"
1963,"[('judge', 0.005567614), ('judges', 0.0050853365), ('constitution', 0.0043245014), ('sen', 0.002604388)]"
1963,"[('steel', 0.0026602512), ('trade', 0.0020442985), ('capacity', 0.0017798643), ('workers', 0.0016944973), ('export', 0.0015303311)]"
1963,"[('quality', 0.0042776037), ('constitution', 0.0031656758), ('export', 0.002474441), ('control', 0.0022650254), ('sen', 0.0020497665), ('south', 0.0019527541), ('exchange', 0.0017800479)]"
1963,"[('housing', 0.0016123455)]"
1963,"[('kamath', 0.0034628694), ('constitution', 0.0034253923), ('quorum', 0.0027822088), ('commerce', 0.0026666808), ('shah', 0.0025933355), ('industries', 0.0025666135), ('vishnu', 0.0025341113), ('control', 0.0021026356)]"
1963,"[('labour', 0.0025178934), ('officers', 0.0022876281), ('defence', 0.0021272406), ('chavan', 0.0016623584), ('staff', 0.0016592982)]"
1963,"[('cooperative', 0.0037999507), ('community', 0.0022925944), ('raj', 0.0017041952)]"
1963,"[('territories', 0.0054225065), ('document', 0.003712651), ('administrator', 0.0033820777), ('constitution', 0.0024055901), ('privilege', 0.002384132), ('thing', 0.0023235846), ('goa', 0.002208584)]"
1963,"[('gold', 0.005483015), ('control', 0.0025531887)]"
1963,"[('defence', 0.008561867), ('army', 0.0037825822), ('trade', 0.002761496), ('commerce', 0.0027100395), ('chinese', 0.0020353412), ('shah', 0.002020704)]"
1963,"[('gold', 0.0043972665), ('traffic', 0.0016940914)]"
1963,"[('defence', 0.007866521), ('chinese', 0.0030124516), ('army', 0.0029884086), ('war', 0.0028127912), ('forces', 0.0023974404), ('air', 0.0023642401), ('china', 0.002184269), ('transport', 0.001949666)]"
1963,"[('companies', 0.0068184338), ('company', 0.0040205196), ('private', 0.0034197113), ('big', 0.0033529953), ('business', 0.0031534303), ('inquiry', 0.0027702632), ('defence', 0.0023377591)]"
1963,"[('gold', 0.0019151202), ('swaran', 0.0017990205)]"
1963,"[('companies', 0.004494582), ('company', 0.0043258546), ('jain', 0.003284801), ('banerjee', 0.0025587776), ('inquiry', 0.0025586595), ('dalmia', 0.002493361)]"
1963,"[('steel', 0.003815019), ('shah', 0.0033258083), ('manubhai', 0.0032649485), ('heavy', 0.0028534448), ('commerce', 0.0025398242), ('child', 0.0023576263), ('industries', 0.00228525)]"
1963,"[('defence', 0.00460942), ('export', 0.0033214958), ('industries', 0.0028140002), ('trade', 0.002765417), ('tea', 0.002459939), ('countries', 0.002105436)]"
1963,"[('transport', 0.0056723524), ('road', 0.0025653378), ('possible', 0.002191597), ('industries', 0.00209356)]"
1963,"[('transport', 0.0062868), ('shipping', 0.0047584265), ('road', 0.0023802505), ('company', 0.0022140003)]"
1963,"[('capital', 0.0028783386), ('tax', 0.0026599735), ('prices', 0.002500536), ('supplementary', 0.0024169895), ('expenditure', 0.0022545871), ('defence', 0.0020020562)]"
1963,"[('tax', 0.0026551452), ('defence', 0.0022027462), ('income', 0.0019966364), ('taxation', 0.001747917)]"
1963,"[('steel', 0.007960733), ('industries', 0.0051096897), ('plant', 0.003311608), ('shah', 0.0032749255), ('heavy', 0.0028586455), ('commerce', 0.0028495847), ('resolution', 0.0025134753)]"
1963,"[('tax', 0.0032666982), ('defence', 0.0030449133), ('economic', 0.001895716), ('economy', 0.0017219725)]"
1963,"[('resolution', 0.0039366735), ('tax', 0.0032938083), ('steel', 0.002991055), ('income', 0.0025544933), ('economy', 0.00206774), ('concentration', 0.0020245018), ('economic', 0.0019702131), ('industries', 0.001892671)]"
1963,"[('defence', 0.0055459207), ('steel', 0.003928776), ('industries', 0.0026772982), ('private', 0.0026041362), ('coordination', 0.0025029418)]"
1963,"[('tax', 0.0037927448), ('charges', 0.0032889268), ('kamath', 0.0029129281)]"
1963,"[('defence', 0.0025415183), ('technical', 0.0016624108), ('thing', 0.0015007472)]"
1963,"[('ram', 0.0024392267), ('joint', 0.0023930292), ('parliament', 0.0022720075), ('constitution', 0.002082171), ('prasad', 0.002009001)]"
1963,"[('china', 0.0047880886), ('countries', 0.0041070227), ('world', 0.0040043737), ('chinese', 0.0034481648), ('pakistan', 0.0031724626), ('war', 0.002599984), ('kashmir', 0.0021042156), ('thing', 0.002085847), ('external', 0.0020034546)]"
1963,"[('defence', 0.0032998607), ('income', 0.0018574599), ('emergency', 0.0016270956), ('taxation', 0.0015893795), ('duty', 0.001572771), ('position', 0.0015476419)]"
1963,"[('prices', 0.0037704809), ('agricultural', 0.0028389017), ('traffic', 0.0022760837), ('transport', 0.00212046), ('gsr', 0.0020385874), ('sugar', 0.001886767)]"
1963,"[('raj', 0.002497653), ('nehru', 0.0021919978), ('transport', 0.0020268143), ('service', 0.0019379518), ('conduct', 0.0018902192), ('countries', 0.0017948125)]"
1963,"[('export', 0.003204074), ('trade', 0.0030613057), ('shah', 0.0029550684), ('countries', 0.0029361171), ('commerce', 0.0027139816), ('industries', 0.0021465532), ('steel', 0.0021146773), ('exports', 0.0020356835), ('heavy', 0.001999517)]"
1963,"[('defence', 0.003749167), ('emergency', 0.002601298), ('chinese', 0.0019320545)]"
1963,"[('agricultural', 0.0031350413), ('sugar', 0.0026662976), ('prices', 0.0026225334), ('research', 0.0021275745)]"
1963,"[('gold', 0.0039925314), ('defence', 0.0026046236), ('kashmir', 0.0018686446), ('assam', 0.0018408146), ('chinese', 0.0016654579), ('emergency', 0.0015777908)]"
1963,"[('silk', 0.0051699462), ('industries', 0.0036307469), ('steel', 0.0031751902), ('china', 0.0028294555), ('films', 0.0025206227), ('heavy', 0.0022633977)]"
1963,"[('journalists', 0.0022084953), ('shah', 0.0015839167), ('press', 0.0014954869), ('service', 0.0014918415), ('retirement', 0.0014128033)]"
1963,"[('tax', 0.0041646995), ('compulsory', 0.0039103376), ('income', 0.0036169025), ('incometax', 0.003122942), ('deposit', 0.0030812365), ('pay', 0.0027539236)]"
1963,"[('research', 0.0047482764), ('atomic', 0.004407031), ('energy', 0.0041236975), ('scientific', 0.0036408908), ('scientists', 0.0035967818), ('cultural', 0.0022800427), ('science', 0.0022509065)]"
1963,"[('language', 0.006498955), ('official', 0.0040855166), ('languages', 0.0038760607), ('ram', 0.001983445), ('constitution', 0.001804399), ('might', 0.0017929554)]"
1963,"[('language', 0.0105582075), ('languages', 0.0070115714), ('official', 0.0044108042), ('rupees', 0.0018991993), ('used', 0.0018063108), ('thing', 0.0017249478)]"
1963,"[('defence', 0.003909049), ('chinese', 0.0033866535)]"
1963,"[('defence', 0.0028597235), ('atomic', 0.0019262709), ('medical', 0.0018738435), ('planning', 0.0016075993), ('energy', 0.0014500764)]"
1963,"[('language', 0.006958844), ('official', 0.004520945), ('languages', 0.004142633), ('constitution', 0.0021331643), ('parliament', 0.002010776), ('might', 0.0019974161)]"
1963,"[('language', 0.008078703), ('official', 0.0060267816), ('used', 0.0034527597), ('use', 0.003406698), ('constitution', 0.00332373), ('languages', 0.0027778803)]"
1963,"[('chinese', 0.0024049955), ('china', 0.0019839501)]"
1963,"[('language', 0.008389965), ('official', 0.004907989), ('languages', 0.00449831), ('parliament', 0.004267334), ('kamath', 0.0038753252), ('amendments', 0.0038464393), ('vishnu', 0.0032592271)]"
1963,"[('reserve', 0.0030583781), ('duty', 0.002717219), ('supplementary', 0.0022295024), ('defence', 0.0022163605), ('revenue', 0.0021795328)]"
1963,"[('scheduled', 0.0023139182), ('administration', 0.0020706898), ('corruption', 0.0017747236), ('emergency', 0.0014789836)]"
1963,"[('tax', 0.0028732237), ('defence', 0.0025749428), ('excess', 0.0024918895), ('sales', 0.002093796), ('broad', 0.0019806798)]"
1963,"[('steel', 0.00225266), ('nefa', 0.0020851544), ('commerce', 0.0017941755), ('export', 0.001701325)]"
1963,"[('judges', 0.007951273), ('constitution', 0.0041413964), ('judge', 0.0031158943), ('judiciary', 0.0022683202), ('retirement', 0.0020045047)]"
1963,"[('scheduled', 0.0081256265), ('tribes', 0.004593229), ('castes', 0.0045108227), ('kamath', 0.0036971923), ('defence', 0.0035938837), ('labour', 0.0034170002), ('reports', 0.0024992458), ('bhadra', 0.0024492156)]"
1963,"[('scheduled', 0.014130634), ('castes', 0.0055703796), ('tribes', 0.0053107515), ('reports', 0.0033022647), ('transport', 0.0025292449), ('bhadra', 0.0023949724), ('commissioner', 0.0023010501)]"
1963,"[('scheduled', 0.011805716), ('tribes', 0.004372782), ('castes', 0.004365433), ('reports', 0.002740908), ('bhadra', 0.0022791212), ('kabir', 0.001906221)]"
1963,"[('insurance', 0.0031039712), ('prices', 0.002538799), ('business', 0.0017163659), ('singhvi', 0.001398738), ('rehabilitation', 0.0013858934), ('rise', 0.0013585945)]"
1963,"[('defence', 0.004186539), ('steel', 0.0036990736), ('trade', 0.0032621943), ('income', 0.0031394714), ('workers', 0.0022334442), ('industries', 0.002232075), ('resolution', 0.0021797095)]"
1963,"[('pakistan', 0.0031647831), ('defence', 0.0030843753), ('rise', 0.0027165115), ('prices', 0.0025347304), ('agricultural', 0.002259176), ('bhadra', 0.0022304424), ('chavan', 0.0019800633)]"
1963,"[('income', 0.0028204375), ('bhadra', 0.0022897276), ('sugar', 0.002058051)]"
1963,"[('sugar', 0.005236524), ('upsc', 0.0047331173), ('kabir', 0.003532085), ('service', 0.0022803391), ('situation', 0.0021992011), ('humayun', 0.001982361), ('bhadra', 0.0018390949)]"
1963,"[('rao', 0.0021408747), ('service', 0.002077666), ('upsc', 0.0019994164), ('sugar', 0.0018913936), ('kamath', 0.0018387967), ('position', 0.001711983)]"
1963,"[('services', 0.0034108204), ('institutions', 0.0033440928), ('service', 0.0027074548), ('rules', 0.0017702858), ('students', 0.0017171585)]"
1963,"[('drugs', 0.0032817987), ('trade', 0.0027594874), ('steel', 0.0025826776), ('bhadra', 0.0017869644), ('attention', 0.0017215753)]"
1963,"[('limitation', 0.004503635), ('textiles', 0.0020178664), ('quality', 0.0018105601), ('rules', 0.0015506845)]"
1963,"[('constitution', 0.004678323), ('steel', 0.0034512451), ('trade', 0.0032482499), ('industries', 0.0030796137), ('labour', 0.0028640295), ('records', 0.002554854), ('iron', 0.002451699)]"
1963,"[('china', 0.004464249), ('world', 0.0033547163), ('countries', 0.0027813038), ('pakistan', 0.0026600896), ('international', 0.0023379477), ('defence', 0.0022396152), ('situation', 0.0022225115), ('ranga', 0.0018885368), ('chinese', 0.0018042133), ('employment', 0.0017890795)]"
1963,"[('gsr', 0.006684643), ('supplementary', 0.0021182217), ('labour', 0.0018755635), ('workers', 0.001638265)]"
1963,"[('world', 0.003881688), ('countries', 0.0038218445), ('international', 0.0037017025), ('bhadra', 0.0023992269), ('pakistan', 0.0023911432), ('transport', 0.0021796061), ('situation', 0.0021560462), ('nonalignment', 0.0021334637)]"
1963,"[('constitution', 0.0035221826), ('kerala', 0.0027202948), ('lands', 0.0022055362), ('bhadra', 0.0019208353), ('joint', 0.0017330857), ('hem', 0.0014874821), ('kabir', 0.0014849948)]"
1963,"[('defence', 0.004593647), ('chinese', 0.0034192514), ('china', 0.002964841), ('labour', 0.00223953), ('noconfidence', 0.002181406), ('council', 0.0020075308)]"
1963,"[('kerala', 0.0030264275), ('constitution', 0.002248512), ('joint', 0.0016349902), ('seventeenth', 0.0014749194), ('lands', 0.001377122)]"
1963,"[('congress', 0.0026468362), ('council', 0.0024921193), ('gold', 0.0024262636), ('noconfidence', 0.002336109), ('prices', 0.0020417166)]"
1963,"[('defence', 0.0038912303), ('steel', 0.003370713), ('industries', 0.0032264646), ('resolution', 0.0024705585), ('heavy', 0.0020150505), ('emergency', 0.0020019272), ('shah', 0.0018901217), ('bhadra', 0.0018804282)]"
1963,"[('desai', 0.0026040024), ('council', 0.0025180015), ('congress', 0.0024595435), ('noconfidence', 0.0024176594)]"
1963,"[('defence', 0.009360016), ('nefa', 0.0047378493), ('preparedness', 0.0035660558), ('army', 0.0032826986), ('chinese', 0.00317338), ('china', 0.0026957167), ('enquiry', 0.0022326994), ('military', 0.0021607245)]"
1963,"[('noconfidence', 0.0027139566), ('kripalani', 0.0023198037), ('gsr', 0.0021766955), ('council', 0.0020958034)]"
1963,"[('banks', 0.0066483803), ('trade', 0.004187851), ('industries', 0.0038523017), ('steel', 0.0030207888), ('resolution', 0.0025433882), ('iron', 0.002032771), ('heavy', 0.0020053508), ('bhadra', 0.0019741282)]"
1963,"[('port', 0.0052722376), ('labour', 0.004800727), ('ports', 0.0038080444), ('trade', 0.0035455178), ('trading', 0.0032804776), ('defence', 0.0032565913), ('stc', 0.0028558364), ('employment', 0.0027226007)]"
1963,"[('scheduled', 0.006180461), ('tribal', 0.0036635548), ('tribes', 0.0027484717), ('bhadra', 0.0020421238), ('tribals', 0.0019930366), ('transport', 0.0017469383)]"
1963,"[('custom', 0.004163277), ('compensation', 0.003925867), ('injuries', 0.0030061712), ('insurance', 0.0024592602), ('provisions', 0.0022982426)]"
1963,"[('irrigation', 0.0026440779), ('employees', 0.0025033643), ('workers', 0.0022215557), ('sale', 0.0020592338), ('unauthorised', 0.0020126349)]"
1963,"[('industries', 0.0042268196), ('steel', 0.0031233118), ('workers', 0.002841755), ('kamath', 0.0024959168), ('trade', 0.002346861), ('tribunal', 0.0021643648), ('subramaniam', 0.002150792)]"
1963,"[('supplementary', 0.0022376927), ('agrahayana', 0.002156088), ('training', 0.0017958122), ('planning', 0.001498974)]"
1963,"[('sugar', 0.004997051), ('defence', 0.0048237625), ('prices', 0.0034442025), ('gur', 0.002933907), ('situation', 0.0029099374)]"
1963,"[('sugar', 0.0031653529), ('transport', 0.002807678), ('agrahayana', 0.002338904), ('prices', 0.0018011718), ('situation', 0.0017723576), ('agricultural', 0.0017609762), ('raj', 0.0015559295)]"
1963,"[('sugar', 0.003651106), ('unit', 0.0035877442), ('trust', 0.003512898), ('prices', 0.0026296328), ('situation', 0.0024103553), ('agrahayana', 0.0020745648), ('investment', 0.0019771904)]"
1963,"[('unit', 0.0031751352), ('trust', 0.0026000887), ('investment', 0.0021951394), ('agrahayana', 0.0017604559), ('private', 0.001748847)]"
1963,"[('steel', 0.007279824), ('sanskrit', 0.0053828494), ('planning', 0.0040350882), ('heavy', 0.004000689), ('language', 0.003935346), ('engineering', 0.002876854), ('kanungo', 0.002807278)]"
1963,"[('planning', 0.0020772454), ('defence', 0.0019949237), ('labour', 0.0017634007)]"
1963,"[('planning', 0.007034993), ('appraisal', 0.0025200194), ('midterm', 0.0023400106), ('agricultural', 0.0021419867), ('agrahayana', 0.0019521575), ('thomas', 0.0016577608)]"
1963,"[('planning', 0.005585745), ('appraisal', 0.003219871), ('agrahayana', 0.0019507962), ('nehru', 0.0017742759)]"
1963,"[('tariff', 0.0023045233), ('industries', 0.0022486553), ('irrigation', 0.0020990383), ('parliament', 0.0020848343), ('oral', 0.0019467787), ('quorum', 0.0019254964), ('planning', 0.0018527488)]"
1963,"[('steel', 0.0047018086), ('madras', 0.004521639), ('heavy', 0.0036497368), ('city', 0.003593014), ('engineering', 0.003141237), ('resolution', 0.0027651028), ('export', 0.0023855686), ('agrahayana', 0.0022819268)]"
1963,"[('company', 0.0029775675), ('companies', 0.0026537497), ('interest', 0.0023378646), ('labour', 0.0021926896), ('agrahayana', 0.0020800226)]"
